dataset	model	lang1	lang2	mrr
nusax	mbert_cls	javanese	balinese	0.125752693499891
nusax	mbert_cls	javanese	buginese	0.008790799669673409
nusax	mbert_cls	javanese	ngaju	0.03321290096086332
nusax	mbert_cls	javanese	javanese	0.0
nusax	mbert_cls	javanese	minangkabau	0.07113103565018875
nusax	mbert_cls	javanese	toba_batak	0.0165198043145146
nusax	mbert_cls	javanese	english	0.00013266755775695932
nusax	mbert_cls	javanese	indonesian	0.07795573909275876
nusax	mbert_cls	minangkabau	sundanese	0.09484516124303573
nusax	mbert_cls	minangkabau	banjarese	0.0745215051649901
nusax	mbert_cls	minangkabau	acehnese	0.02931732757555364
nusax	mbert_cls	minangkabau	madurese	0.026056762109631648
nusax	mbert_cls	minangkabau	balinese	0.07305739924056988
nusax	mbert_cls	minangkabau	buginese	0.006848884407368939
nusax	mbert_cls	minangkabau	ngaju	0.03590346312004018
nusax	mbert_cls	minangkabau	javanese	0.09374269237088788
nusax	mbert_cls	minangkabau	minangkabau	0.0
nusax	mbert_cls	minangkabau	toba_batak	0.019430993586824905
nusax	mbert_cls	minangkabau	english	0.00023527326027361387
nusax	mbert_cls	minangkabau	indonesian	0.11432544617257341
nusax	mbert_cls	toba_batak	sundanese	0.021414567554711637
nusax	mbert_cls	toba_batak	banjarese	0.026944682460425994
nusax	mbert_cls	toba_batak	acehnese	0.033950142484006005
nusax	mbert_cls	toba_batak	madurese	0.044154631874172026
nusax	mbert_cls	toba_batak	balinese	0.03546983043301749
nusax	mbert_cls	toba_batak	buginese	0.02466151760361575
nusax	mbert_cls	toba_batak	ngaju	0.02549954645238854
nusax	mbert_cls	toba_batak	javanese	0.02226627729184033
nusax	mbert_cls	toba_batak	minangkabau	0.020494803559092632
nusax	mbert_cls	toba_batak	toba_batak	0.0
nusax	mbert_cls	toba_batak	english	0.00012881460114533115
nusax	mbert_cls	toba_batak	indonesian	0.00964629230618841
nusax	mbert_cls	english	sundanese	0.008830753759499934
nusax	mbert_cls	english	banjarese	0.008607366425782335
nusax	mbert_cls	english	acehnese	0.009347370033972076
nusax	mbert_cls	english	madurese	0.005055736969612424
nusax	mbert_cls	english	balinese	0.005773557408610111
nusax	mbert_cls	english	buginese	0.0034286866509688585
nusax	mbert_cls	english	ngaju	0.006330563435775779
nusax	mbert_cls	english	javanese	0.007116465193691588
nusax	mbert_cls	english	minangkabau	0.007330269786302246
nusax	mbert_cls	english	toba_batak	0.0066418395969178
nusax	mbert_cls	english	english	0.0
nusax	mbert_cls	english	indonesian	0.037322686937415084
nusax	mbert_cls	indonesian	sundanese	0.0923361772938025
nusax	mbert_cls	indonesian	banjarese	0.0940164825622788
nusax	mbert_cls	indonesian	acehnese	0.02234734282884457
nusax	mbert_cls	indonesian	madurese	0.01841406091374027
nusax	mbert_cls	indonesian	balinese	0.07426222133401045
nusax	mbert_cls	indonesian	buginese	0.0038660285337073566
nusax	mbert_cls	indonesian	ngaju	0.0500270541133643
nusax	mbert_cls	indonesian	javanese	0.12326841118819962
nusax	mbert_cls	indonesian	minangkabau	0.12605697377624137
nusax	mbert_cls	indonesian	toba_batak	0.011197266765693418
nusax	mbert_cls	indonesian	english	0.0006488338927208479
nusax	mbert_cls	indonesian	indonesian	0.0
nusax	xlmr_cls	sundanese	sundanese	0.0
nusax	xlmr_cls	sundanese	banjarese	0.032104698486650894
nusax	xlmr_cls	sundanese	acehnese	0.010298048627014857
nusax	xlmr_cls	sundanese	madurese	0.012320006978342554
nusax	xlmr_cls	sundanese	balinese	0.04023346792560589
nusax	xlmr_cls	sundanese	buginese	0.002726908272499074
nusax	xlmr_cls	sundanese	ngaju	0.01970924841298255
nusax	xlmr_cls	sundanese	javanese	0.04256662007564115
nusax	xlmr_cls	sundanese	minangkabau	0.04140260845987901
nusax	xlmr_cls	sundanese	toba_batak	0.012900537618308196
nusax	xlmr_cls	sundanese	english	0.0015334235089535166
nusax	xlmr_cls	sundanese	indonesian	0.015660594058857433
nusax	xlmr_cls	banjarese	sundanese	0.026824301423510746
nusax	xlmr_cls	banjarese	banjarese	0.0
nusax	xlmr_cls	banjarese	acehnese	0.015021108179443207
nusax	xlmr_cls	banjarese	madurese	0.011956706756493084
nusax	xlmr_cls	banjarese	balinese	0.03288192163793392
nusax	xlmr_cls	banjarese	buginese	0.004608713215313658
nusax	xlmr_cls	banjarese	ngaju	0.046879056053922154
nusax	xlmr_cls	banjarese	javanese	0.021813902406412847
nusax	xlmr_cls	banjarese	minangkabau	0.11133736761880265
nusax	xlmr_cls	banjarese	toba_batak	0.010554126000077239
nusax	xlmr_cls	banjarese	english	0.004619851642108724
nusax	xlmr_cls	banjarese	indonesian	0.03788947494307611
nusax	xlmr_cls	acehnese	sundanese	0.013175075301149463
nusax	xlmr_cls	acehnese	banjarese	0.023374685793492826
nusax	xlmr_cls	acehnese	acehnese	0.0
nusax	xlmr_cls	acehnese	madurese	0.015748457668078086
nusax	xlmr_cls	acehnese	balinese	0.019990279114352652
nusax	xlmr_cls	acehnese	buginese	0.00920914858187428
nusax	xlmr_cls	acehnese	ngaju	0.025224397225486476
nusax	xlmr_cls	acehnese	javanese	0.013231290972441983
nusax	xlmr_cls	acehnese	minangkabau	0.037772235000148355
nusax	xlmr_cls	acehnese	toba_batak	0.014486060255475216
nusax	xlmr_cls	acehnese	english	0.0016198428096942453
nusax	xlmr_cls	acehnese	indonesian	0.008235533825574012
nusax	xlmr_cls	madurese	sundanese	0.015006138505904352
nusax	xlmr_cls	madurese	banjarese	0.0160136935535799
nusax	xlmr_cls	madurese	acehnese	0.014071418155331037
nusax	xlmr_cls	madurese	madurese	0.0
nusax	xlmr_cls	madurese	balinese	0.027443009873965387
nusax	xlmr_cls	madurese	buginese	0.020304400453992028
nusax	xlmr_cls	madurese	ngaju	0.01794259411396964
nusax	xlmr_cls	madurese	javanese	0.013618192652762418
nusax	xlmr_cls	madurese	minangkabau	0.026567017005128136
nusax	xlmr_cls	madurese	toba_batak	0.015298527440556943
nusax	xlmr_cls	madurese	english	0.0007651677638555744
nusax	xlmr_cls	madurese	indonesian	0.0034712443467244058
nusax	xlmr_cls	balinese	sundanese	0.04509501707132344
nusax	xlmr_cls	balinese	banjarese	0.03992402049867364
nusax	xlmr_cls	balinese	acehnese	0.015649572818272516
nusax	xlmr_cls	balinese	madurese	0.021910692273774523
nusax	xlmr_cls	balinese	balinese	0.0
nusax	xlmr_cls	balinese	buginese	0.00763144799933553
nusax	xlmr_cls	balinese	ngaju	0.03359313914651963
nusax	xlmr_cls	balinese	javanese	0.06874849724454049
nusax	xlmr_cls	balinese	minangkabau	0.04974359368707956
nusax	xlmr_cls	balinese	toba_batak	0.013537966182024873
nusax	xlmr_cls	balinese	english	0.0014704184989793748
nusax	xlmr_cls	balinese	indonesian	0.012979569354016746
nusax	xlmr_cls	buginese	sundanese	0.004053087938124209
nusax	xlmr_cls	buginese	banjarese	0.006127982768131039
nusax	xlmr_cls	buginese	acehnese	0.007169510727850384
nusax	xlmr_cls	buginese	madurese	0.016579082454759548
nusax	xlmr_cls	buginese	balinese	0.007269727380479902
nusax	xlmr_cls	buginese	buginese	0.0
nusax	xlmr_cls	buginese	ngaju	0.0057785288852016045
nusax	xlmr_cls	buginese	javanese	0.00287085508048043
nusax	xlmr_cls	buginese	minangkabau	0.0071235590057562815
nusax	xlmr_cls	buginese	toba_batak	0.010338150798315524
nusax	xlmr_cls	buginese	english	0.0006996024431768237
